Total, Итого
Order, Заказ
Sku, Артикул
Continue to shipping, Продолжить покупки
Continue shopping, Продолжить покупки
Continue Shopping, Продолжить покупки
CONTINUE SHOPPING, ПРОДОЛЖИТЬ ПОКУПКИ
Shopping cart, Корзина
Product, Продукт
Price, Цена
Quantity, Количество
Remove, Удалить
Qty, Кол-во
Sub total, Подитог
Discount(${coupon}), Скидка(${coupon})
Order summary, Сумма заказа
Taxes and shipping calculated at checkout, Налоги и стоимость доставки рассчитываются при оформлении заказа
CHECKOUT, ОФОРМИТЬ ЗАКАЗ
Change, Изменить
Payment Method, Метод оплаты
Shipping Method, Метод доставки
No payment methods available, Нет доступных методов оплаты
Place Order, Разместить заказ
My billing address is same as shipping address, Мой платежный адрес совпадает с адресом доставки
${count} items, ${count} позиций
Discount, Скидка
Shipping, Доставка
No tax, Без налогов
Tax, Налог
Sorry, there is no available method for your address, Нет доступного способа получения вашего адреса
Please enter a shipping address in order to see shipping quotes, Пожалуйста, введите адрес доставки, чтобы ознакомиться с ценами на доставку
Continue to payment, Перейти к оплате
No payment method available, Способ оплаты недоступен
Ship to, Куда
Shipment, Доставка
Thank you ${name}!, Спасибо ${name}!
Contact information, Контакты
Order #${orderNumber}, Заказ #${orderNumber}
ADD TO CART, В корзину
Please select variant options, Выберите вариант
VIEW CART (${count}), Смотреть корзину (${count})
JUST ADDED TO YOUR CART, Добавленов корзину
Promotion code?, Промо-код?
Enter coupon code, Введите код купона
Apply, Применить
Your cart is empty!, Корзина пуста
